sl.no.,Original Signal,Approximation,D 1,D 2,D 3,D 4,D 5,D 6
1,-0.16,0.13,-0.14,-0.29,-0.55,-0.99,-0.15,-0.02
2,-0.14,0.13,0.10,0.28,-0.15,-1.15,-0.11,-0.01
3,0.21,0.13,0.02,0.47,0.27,-1.13,-0.05,0.02
4,0.51,0.13,0.05,0.38,0.57,-0.93,0.01,0.04
5,0.92,0.13,-0.02,0.13,0.67,-0.55,0.06,0.07
6,1.21,0.13,0.01,-0.16,0.56,-0.14,0.08,0.09
7,1.29,0.13,0.01,-0.36,0.36,0.19,0.08,0.11
8,0.96,0.12,0.01,-0.39,0.15,0.43,0.06,0.12
9,0.38,0.12,-0.05,-0.20,0.02,0.59,0.03,0.12
10,-0.71,0.12,0.02,0.05,-0.09,0.65,0.00,0.12
11,-0.92,0.12,-0.23,0.19,-0.29,0.60,-0.03,0.12
12,-0.60,0.12,0.06,0.24,-0.50,0.49,-0.05,0.12
13,-0.44,0.12,0.22,0.23,-0.65,0.32,-0.05,0.12
14,-0.29,0.12,-0.01,0.20,-0.59,0.19,-0.03,0.13
15,-0.06,0.12,-0.08,0.18,-0.23,0.15,0.00,0.15
16,0.46,0.12,-0.05,0.00,0.23,0.18,0.03,0.17
17,1.03,0.12,0.05,-0.42,0.60,0.23,0.05,0.20
18,1.53,0.11,0.04,-0.62,0.72,0.28,0.05,0.22
19,1.46,0.11,0.07,-0.28,0.53,0.30,0.03,0.24
20,1.07,0.11,-0.07,0.19,0.16,0.27,-0.02,0.25
21,0.14,0.11,-0.01,0.32,-0.24,0.21,-0.09,0.26
22,-0.56,0.12,-0.13,0.18,-0.53,0.10,-0.15,0.25
23,-1.16,0.12,0.02,0.04,-0.60,-0.06,-0.19,0.24
24,-0.92,0.13,-0.06,0.06,-0.44,-0.25,-0.21,0.23
25,-0.92,0.13,0.21,0.20,-0.07,-0.40,-0.20,0.23
26,-0.65,0.13,-0.03,0.27,0.34,-0.47,-0.17,0.22
27,-0.65,0.13,0.03,0.15,0.66,-0.43,-0.13,0.22
28,0.24,0.13,-0.19,-0.14,0.73,-0.34,-0.07,0.22
29,0.71,0.13,0.20,-0.47,0.50,-0.23,-0.01,0.22
30,1.11,0.13,0.01,-0.57,0.10,-0.11,0.03,0.22
31,1.15,0.13,-0.02,-0.28,-0.33,0.02,0.05,0.20
32,0.96,0.13,-0.04,0.16,-0.66,0.14,0.04,0.18
33,0.46,0.14,-0.01,0.29,-0.80,0.22,0.02,0.15
34,-0.18,0.14,-0.03,0.14,-0.76,0.22,-0.01,0.11
35,-0.84,0.14,-0.02,0.09,-0.55,0.15,-0.01,0.07
36,-0.71,0.15,-0.12,0.20,-0.18,0.05,0.01,0.03
37,-0.92,0.15,0.22,0.23,0.31,-0.02,0.06,-0.01
38,-0.92,0.15,-0.03,0.15,0.78,-0.06,0.13,-0.04
39,-0.71,0.16,-0.06,0.05,1.08,-0.08,0.19,-0.06
40,0.38,0.16,-0.10,-0.08,1.06,-0.11,0.24,-0.07
41,1.17,0.15,0.22,-0.30,0.72,-0.13,0.27,-0.08
42,1.59,0.15,0.06,-0.44,0.17,-0.14,0.27,-0.09
43,1.47,0.16,-0.05,-0.24,-0.41,-0.12,0.24,-0.10
44,0.95,0.16,-0.08,0.07,-0.83,-0.08,0.16,-0.12
45,0.14,0.16,-0.04,0.06,-1.04,-0.05,0.06,-0.14
46,-0.52,0.17,-0.07,-0.08,-1.01,-0.03,-0.04,-0.17
47,-0.52,0.17,-0.06,0.05,-0.76,-0.01,-0.12,-0.20
48,-0.44,0.18,0.15,0.37,-0.35,0.04,-0.18,-0.23
49,-0.44,0.18,0.08,0.51,0.16,0.11,-0.20,-0.27
50,-1.16,0.19,0.07,0.37,0.65,0.20,-0.20,-0.29
51,-0.77,0.19,-0.35,0.05,0.99,0.26,-0.20,-0.31
52,-0.02,0.19,0.08,-0.37,1.09,0.27,-0.20,-0.32
53,0.72,0.19,0.19,-0.68,0.90,0.22,-0.22,-0.32
54,1.18,0.19,0.05,-0.53,0.49,0.13,-0.26,-0.32
55,1.28,0.19,-0.05,0.05,-0.03,0.02,-0.30,-0.33
56,1.05,0.19,-0.05,0.42,-0.57,-0.10,-0.35,-0.34
57,0.46,0.20,-0.02,0.15,-0.98,-0.22,-0.39,-0.35
58,-0.14,0.20,-0.06,-0.21,-1.16,-0.33,-0.41,-0.36
59,-0.77,0.20,0.01,-0.12,-1.01,-0.38,-0.41,-0.37
60,-0.52,0.21,-0.12,0.22,-0.54,-0.34,-0.37,-0.38
61,-0.44,0.21,0.20,0.40,0.13,-0.21,-0.28,-0.39
62,-0.41,0.21,0.05,0.35,0.77,-0.03,-0.18,-0.38
63,-0.56,0.21,-0.03,0.15,1.12,0.15,-0.08,-0.36
64,0.42,0.20,-0.25,-0.10,1.09,0.28,0.02,-0.33
65,1.00,0.20,0.26,-0.39,0.76,0.35,0.09,-0.30
66,1.36,0.20,0.06,-0.56,0.28,0.35,0.13,-0.26
67,1.22,0.19,-0.03,-0.32,-0.17,0.29,0.15,-0.22
68,0.82,0.19,-0.09,0.15,-0.53,0.15,0.16,-0.20
69,0.38,0.19,-0.06,0.27,-0.80,-0.03,0.17,-0.17
70,0.00,0.19,0.00,0.01,-0.94,-0.21,0.18,-0.16
71,-0.31,0.19,0.03,-0.03,-0.90,-0.34,0.19,-0.14
72,-1.02,0.20,0.10,0.23,-0.61,-0.38,0.21,-0.13
73,-0.92,0.20,-0.20,0.39,-0.09,-0.32,0.25,-0.12
74,-0.92,0.20,0.13,0.27,0.50,-0.19,0.29,-0.10
75,-0.56,0.21,0.00,-0.04,0.95,-0.03,0.33,-0.08
76,-0.21,0.20,0.04,-0.30,1.09,0.11,0.35,-0.05
77,0.54,0.20,-0.06,-0.29,0.89,0.21,0.35,-0.02
78,0.83,0.20,0.13,-0.16,0.45,0.26,0.32,0.00
79,0.89,0.20,-0.03,-0.16,-0.06,0.25,0.28,0.03
80,0.53,0.20,-0.03,-0.13,-0.50,0.16,0.22,0.05
81,0.18,0.20,-0.09,0.01,-0.80,0.02,0.17,0.07
82,-0.21,0.20,0.00,0.08,-0.90,-0.14,0.13,0.08
83,-0.52,0.20,0.01,0.11,-0.77,-0.24,0.10,0.09
84,-0.84,0.21,0.03,0.23,-0.44,-0.27,0.10,0.10
85,-0.84,0.21,-0.04,0.33,0.04,-0.19,0.11,0.11
86,-0.56,0.21,0.01,0.25,0.51,-0.06,0.13,0.12
87,-0.29,0.21,0.07,0.01,0.83,0.08,0.15,0.14
88,0.37,0.20,-0.06,-0.22,0.91,0.22,0.16,0.17
89,0.82,0.20,0.08,-0.29,0.75,0.32,0.16,0.19
90,1.17,0.20,0.00,-0.23,0.39,0.37,0.14,0.22
91,1.15,0.20,0.01,-0.17,-0.05,0.35,0.10,0.24
92,0.83,0.20,-0.03,-0.09,-0.48,0.25,0.05,0.25
93,0.20,0.20,-0.02,0.02,-0.80,0.07,0.00,0.25
94,-0.77,0.20,0.00,0.09,-0.95,-0.11,-0.03,0.25
95,0.21,0.20,-0.37,0.17,-0.84,-0.25,-0.05,0.24
96,0.16,0.21,0.52,0.25,-0.51,-0.32,-0.05,0.23
97,-1.37,0.21,0.23,0.23,-0.02,-0.30,-0.03,0.22
98,-1.37,0.22,-0.67,0.21,0.47,-0.22,0.00,0.21
99,-0.60,0.22,0.01,0.16,0.82,-0.12,0.02,0.21
100,0.35,0.22,0.32,-0.28,0.92,-0.01,0.04,0.22
101,0.91,0.22,0.15,-0.75,0.77,0.09,0.03,0.23
102,1.28,0.22,-0.11,-0.27,0.43,0.16,0.00,0.24
103,1.23,0.23,-0.04,0.52,-0.01,0.16,-0.04,0.24
104,0.84,0.23,-0.03,0.25,-0.44,0.10,-0.08,0.24
105,0.15,0.23,-0.02,-0.47,-0.75,-0.01,-0.11,0.24
106,-1.02,0.24,0.03,-0.41,-0.85,-0.13,-0.13,0.23
107,-0.78,0.24,-0.31,0.13,-0.71,-0.20,-0.13,0.23
108,-0.77,0.25,0.28,0.49,-0.34,-0.20,-0.11,0.22
109,-0.44,0.25,0.05,0.51,0.15,-0.14,-0.08,0.21
110,-0.16,0.25,0.00,0.32,0.54,-0.03,-0.05,0.22
111,0.27,0.25,-0.05,0.11,0.77,0.10,-0.02,0.22
112,0.61,0.25,0.02,-0.23,0.77,0.22,-0.01,0.23
113,1.03,0.25,-0.03,-0.63,0.57,0.32,-0.02,0.25
114,1.26,0.24,0.03,-0.62,0.34,0.36,-0.05,0.26
115,1.29,0.24,0.00,-0.18,0.02,0.33,-0.09,0.26
116,1.11,0.24,-0.02,0.19,-0.37,0.23,-0.13,0.27
