sl.no.,Original Signal,Approximation,D 1,D 2,D 3,D 4,D 5,D 6
1,-0.92,-0.10,0.43,-0.13,-0.10,-0.29,-0.13,0.15
2,0.10,-0.10,-1.08,0.07,0.04,-0.26,-0.19,0.18
3,0.22,-0.10,0.62,0.20,0.17,-0.25,-0.25,0.21
4,1.02,-0.09,0.14,0.14,0.28,-0.25,-0.28,0.23
5,1.70,-0.09,0.00,0.09,0.37,-0.22,-0.30,0.25
6,1.61,-0.09,0.08,0.36,0.42,-0.16,-0.29,0.26
7,1.12,-0.09,-0.11,0.37,0.42,-0.10,-0.28,0.28
8,0.35,-0.09,-0.10,-0.45,0.37,-0.02,-0.27,0.30
9,-0.17,-0.09,-0.09,-0.98,0.22,0.06,-0.25,0.31
10,-0.60,-0.09,0.06,-0.52,0.04,0.15,-0.25,0.33
11,-1.46,-0.10,0.14,0.18,-0.21,0.25,-0.25,0.34
12,-2.35,-0.09,-0.06,0.67,-0.48,0.33,-0.26,0.35
13,-2.62,-0.09,-0.15,0.80,-0.66,0.37,-0.27,0.35
14,-1.46,-0.09,-0.11,0.35,-0.75,0.38,-0.29,0.35
15,-1.46,-0.08,0.51,-0.27,-0.59,0.35,-0.30,0.35
16,-2.10,-0.08,-0.02,-0.49,-0.16,0.30,-0.30,0.34
17,-1.66,-0.07,-0.47,-0.23,0.31,0.21,-0.28,0.33
18,-0.60,-0.07,0.04,-0.02,0.76,0.10,-0.24,0.32
19,-0.03,-0.06,0.34,-0.31,0.87,-0.04,-0.20,0.31
20,-0.31,-0.06,0.08,-0.48,0.53,-0.19,-0.15,0.30
21,0.10,-0.05,-0.37,0.16,0.00,-0.34,-0.11,0.30
22,1.02,-0.05,-0.03,0.71,-0.56,-0.47,-0.09,0.29
23,0.91,-0.05,0.37,0.26,-0.81,-0.57,-0.07,0.29
24,0.22,-0.04,-0.05,-0.31,-0.59,-0.62,-0.07,0.28
25,0.22,-0.04,-0.34,-0.06,-0.14,-0.61,-0.08,0.27
26,0.58,-0.03,0.05,0.34,0.39,-0.55,-0.08,0.25
27,0.91,-0.03,0.19,0.08,0.74,-0.43,-0.07,0.24
28,0.35,-0.03,0.16,-0.24,0.77,-0.26,-0.05,0.21
29,0.80,-0.02,-0.37,0.05,0.53,-0.05,-0.01,0.19
30,0.80,-0.02,0.17,0.31,0.13,0.18,0.04,0.17
31,0.46,-0.02,0.09,-0.07,-0.31,0.37,0.11,0.15
32,0.35,-0.03,-0.15,-0.46,-0.66,0.52,0.17,0.14
33,-0.03,-0.03,0.05,-0.24,-0.82,0.61,0.23,0.12
34,-0.45,-0.03,0.00,0.11,-0.81,0.65,0.27,0.11
35,-1.09,-0.04,0.01,0.10,-0.64,0.64,0.29,0.10
36,-0.45,-0.04,-0.24,0.05,-0.39,0.58,0.31,0.09
37,-0.31,-0.04,0.31,0.13,-0.13,0.49,0.31,0.08
38,-0.76,-0.04,0.12,0.07,0.13,0.36,0.31,0.07
39,-0.76,-0.04,-0.27,0.00,0.39,0.23,0.32,0.05
40,0.35,-0.04,-0.17,0.05,0.63,0.12,0.34,0.04
41,0.91,-0.05,0.36,-0.12,0.79,0.04,0.36,0.03
42,0.91,-0.05,0.08,-0.39,0.81,-0.02,0.39,0.02
43,1.32,-0.05,-0.27,-0.15,0.68,-0.08,0.41,0.02
44,1.22,-0.05,0.09,0.33,0.39,-0.15,0.41,0.02
45,1.02,-0.06,0.00,0.19,0.07,-0.18,0.40,0.02
46,0.10,-0.06,0.07,-0.24,-0.20,-0.16,0.37,0.02
