sl.no.,Original Signal,Approximation,D 1,D 2,D 3,D 4,D 5,D 6
1,0.73,0.13,0.3,-0.21,0.17,-0.12,-0.04,0.09
2,0.38,0.13,0.13,-0.21,0.17,-0.1,-0.07,0.1
3,0.92,0.13,-0.28,-0.01,0.21,-0.12,-0.1,0.1
4,0.91,0.13,0.2,0.33,0.26,-0.15,-0.11,0.09
5,0.66,0.13,0.03,0.28,0.34,-0.16,-0.12,0.09
6,0.9,0.13,-0.19,-0.24,0.3,-0.12,-0.13,0.09
7,1.12,0.13,0.07,-0.35,0.07,-0.04,-0.14,0.09
8,0.66,0.14,0.17,-0.11,-0.15,0.03,-0.15,0.09
9,1.12,0.14,-0.28,-0.05,-0.39,0.07,-0.15,0.1
10,1.12,0.14,0.17,0.09,-0.45,0.1,-0.15,0.09
11,0.38,0.14,0.14,0.22,-0.35,0.14,-0.16,0.09
12,-0.97,0.15,-0.09,0.05,-0.28,0.17,-0.16,0.09
13,-0.1,0.15,-0.54,-0.02,-0.14,0.19,-0.17,0.09
14,-0.97,0.16,0.68,0.03,-0.02,0.17,-0.17,0.09
15,0.38,0.16,-0.44,-0.13,0.09,0.13,-0.16,0.09
16,-0.36,0.17,0.53,-0.05,0.3,0.07,-0.13,0.09
17,-0.61,0.17,-0.28,0.34,0.4,0,-0.11,0.09
18,-0.76,0.18,-0.14,0.22,0.37,-0.07,-0.08,0.09
19,0.66,0.18,-0.17,-0.33,0.24,-0.16,-0.06,0.09
20,-0.97,0.18,0.83,-0.54,0,-0.24,-0.05,0.1
21,-0.97,0.19,-0.7,-0.28,-0.19,-0.3,-0.05,0.1
22,0.38,0.19,-0.24,0.29,-0.25,-0.31,-0.05,0.1
23,0.9,0.19,0.58,0.53,-0.24,-0.3,-0.06,0.1
24,0.38,0.2,0.15,-0.02,-0.21,-0.26,-0.07,0.1
25,0.05,0.2,-0.38,-0.24,-0.15,-0.18,-0.07,0.1
26,0.38,0.21,-0.18,0.3,-0.06,-0.08,-0.07,0.09
27,1.5,0.21,0.08,0.13,0.07,0.06,-0.06,0.09
28,0.05,0.21,0.65,-0.6,0.26,0.2,-0.04,0.08
29,0.8,0.21,-0.79,-0.3,0.42,0.3,-0.01,0.08
30,0.38,0.21,0.33,0.56,0.37,0.35,0.02,0.08
31,0.9,0.21,-0.11,0.48,0.19,0.36,0.05,0.07
32,1.12,0.21,0.12,-0.23,-0.09,0.33,0.06,0.07
33,0.38,0.21,0.16,-0.34,-0.38,0.28,0.08,0.07
34,1.12,0.21,-0.45,0.11,-0.46,0.23,0.09,0.07
35,1.09,0.22,0.31,0.16,-0.35,0.13,0.1,0.07
36,-0.97,0.22,0.35,-0.16,-0.21,0.02,0.11,0.07
37,0.66,0.22,-1.06,-0.2,-0.02,-0.05,0.13,0.07
38,0.38,0.22,0.81,0.05,0.05,-0.09,0.15,0.07
39,-0.97,0.22,0.23,0.12,-0.01,-0.08,0.18,0.07
40,0.05,0.23,-0.81,-0.03,-0.02,-0.04,0.21,0.07
41,0.38,0.23,0.42,0.19,-0.02,-0.02,0.22,0.07
42,-0.36,0.23,0.33,0.25,0.04,-0.02,0.24,0.07
43,-0.36,0.23,-0.42,-0.35,0.18,-0.02,0.24,0.07
44,0.38,0.23,-0.12,-0.3,0.25,-0.01,0.23,0.06
45,1.5,0.23,0.19,0.23,0.31,-0.02,0.22,0.06
46,1.32,0.23,0.35,-0.1,0.27,-0.03,0.2,0.05
47,0.38,0.24,-0.14,-0.23,0.15,-0.04,0.17,0.04
48,0.9,0.24,-0.53,0.36,0.08,-0.07,0.14,0.02
49,-0.97,0.24,0.64,0.26,-0.09,-0.07,0.12,0
50,-0.36,0.24,-0.64,-0.38,-0.14,-0.02,0.11,-0.02
51,-0.97,0.24,0.43,-0.32,-0.09,0.04,0.1,-0.03
52,-0.97,0.24,-0.07,0.32,-0.1,0.11,0.1,-0.05
53,-0.97,0.24,-0.02,0.55,0.07,0.19,0.08,-0.07
54,-0.36,0.24,-0.07,0.25,0.13,0.23,0.06,-0.08
55,0.38,0.24,0.09,-0.08,0.03,0.23,0.03,-0.09
56,0.66,0.24,0.13,-0.4,0.02,0.22,0.01,-0.1
57,1.12,0.24,-0.14,-0.47,-0.1,0.16,-0.01,-0.11
58,0.66,0.24,0.12,-0.16,-0.2,0.06,-0.03,-0.11
59,0.38,0.24,-0.17,0.01,-0.17,-0.04,-0.06,-0.12
60,1.09,0.24,-0.19,-0.04,-0.27,-0.18,-0.09,-0.13
61,0.05,0.24,0.52,0.06,-0.33,-0.32,-0.11,-0.13
62,-0.97,0.24,-0.22,0.23,-0.34,-0.42,-0.13,-0.14
63,0.9,0.24,-0.65,0.39,-0.29,-0.49,-0.14,-0.15
64,0.1,0.24,1,0.38,-0.01,-0.53,-0.14,-0.15
65,-0.36,0.24,-0.26,-0.05,0.35,-0.51,-0.16,-0.15
66,-0.36,0.24,-0.34,-0.3,0.7,-0.47,-0.18,-0.15
67,0.38,0.24,0,0.03,0.86,-0.42,-0.21,-0.15
68,0.38,0.24,0.35,-0.09,0.7,-0.33,-0.25,-0.15
69,-0.97,0.24,0.13,-0.59,0.34,-0.22,-0.27,-0.15
70,1.67,0.24,-1,-0.13,-0.15,-0.1,-0.29,-0.15
71,-0.36,0.24,1.38,0.52,-0.6,0.04,-0.3,-0.15
72,-0.03,0.23,-0.83,0.1,-0.87,0.18,-0.31,-0.15
73,1.32,0.23,-0.23,-0.24,-0.9,0.28,-0.32,-0.16
74,-0.97,0.23,1.03,0.14,-0.68,0.39,-0.32,-0.16
75,0.66,0.23,-1.18,0.1,-0.3,0.5,-0.31,-0.16
76,0.38,0.23,0.63,-0.17,0.21,0.58,-0.28,-0.16
77,-0.36,0.22,0.15,0.12,0.59,0.63,-0.25,-0.15
78,-0.97,0.22,-0.3,0.13,0.77,0.63,-0.23,-0.14
79,1.67,0.22,-0.57,-0.1,0.77,0.56,-0.23,-0.13
80,0.38,0.21,1.3,0.07,0.5,0.43,-0.21,-0.11
81,0.66,0.21,-0.69,-0.12,0.2,0.3,-0.19,-0.09
82,0.05,0.2,-0.03,-0.18,-0.07,0.14,-0.16,-0.07
83,1.12,0.2,-0.25,0.36,-0.26,-0.04,-0.11,-0.05
84,0.38,0.19,0.58,-0.04,-0.35,-0.19,-0.07,-0.04
85,0.55,0.19,-0.33,-0.66,-0.41,-0.32,-0.03,-0.02
86,0.9,0.19,-0.06,0.05,-0.33,-0.4,0.01,-0.01
87,0.67,0.19,0.22,0.66,-0.29,-0.38,0.06,0
88,-0.36,0.18,0.05,0.18,-0.2,-0.29,0.11,0.01
89,-0.36,0.18,-0.39,-0.22,0.02,-0.19,0.16,0.02
90,0.05,0.18,0.07,-0.08,0.05,-0.08,0.21,0.03
91,0.05,0.18,0.28,-0.07,0.2,0.03,0.25,0.03
92,-0.97,0.17,0.11,-0.16,0.33,0.08,0.27,0.03
93,-0.36,0.17,-0.53,0.14,0.21,0.1,0.3,0.04
94,-0.61,0.17,0.35,0.35,0.21,0.09,0.34,0.04
95,-0.36,0.17,-0.05,-0.1,0.08,0,0.39,0.03
96,0.38,0.17,-0.09,-0.47,-0.16,-0.14,0.43,0.03
97,-0.36,0.17,0.35,-0.08,-0.22,-0.26,0.46,0.02
98,0.05,0.17,-0.42,0.27,-0.23,-0.36,0.48,0.01
99,0.05,0.17,0.12,0.1,-0.18,-0.41,0.49,0
100,0.38,0.17,0.01,-0.11,-0.01,-0.36,0.5,-0.01
101,-0.97,0.18,0.3,-0.14,0.09,-0.27,0.5,-0.01
102,-0.36,0.18,-0.61,-0.01,0.11,-0.16,0.48,-0.01
103,0.66,0.18,0.15,0.25,0.14,0,0.45,-0.01
104,0.05,0.18,0.56,0.16,0.16,0.17,0.41,-0.01
105,0.66,0.18,-0.49,-0.14,0.17,0.27,0.35,-0.01
106,-0.36,0.18,0.28,0.06,0.19,0.36,0.29,-0.01
107,1.32,0.18,-0.59,0.23,0.14,0.4,0.22,-0.01
108,0.05,0.18,0.84,-0.26,0.02,0.34,0.15,-0.01
109,0.05,0.19,-0.49,-0.51,-0.09,0.25,0.07,-0.02
110,-0.36,0.19,0,0.03,-0.19,0.18,-0.02,-0.03
111,0.9,0.2,-0.2,0.42,-0.27,0.08,-0.11,-0.04
112,1.12,0.2,0.47,0.14,-0.29,0.01,-0.19,-0.05
113,-0.97,0.2,0.31,-0.16,-0.32,-0.01,-0.26,-0.06
114,0.34,0.21,-1.12,0.09,-0.28,-0.05,-0.33,-0.07
115,-0.97,0.21,0.85,0.28,-0.13,-0.08,-0.39,-0.08
116,0.38,0.21,-0.51,-0.23,0.05,-0.05,-0.44,-0.09
117,1.99,0.22,0.17,-0.59,0.25,-0.02,-0.48,-0.09
118,1.84,0.22,0.55,0.05,0.37,-0.04,-0.5,-0.1
119,0.38,0.23,-0.13,0.6,0.34,-0.05,-0.51,-0.1
120,0.05,0.23,-0.65,0.26,0.17,-0.09,-0.51,-0.1
121,1.12,0.24,-0.07,-0.24,0,-0.16,-0.5,-0.1
122,0.9,0.24,0.67,-0.64,-0.13,-0.17,-0.47,-0.09
123,0.38,0.25,-0.07,-0.59,-0.15,-0.16,-0.42,-0.08
124,-0.97,0.25,-0.12,0.53,-0.04,-0.15,-0.35,-0.07
125,0.66,0.26,-0.66,1.24,0.06,-0.13,-0.28,-0.05
126,-0.97,0.26,1.06,0.27,0.1,-0.06,-0.19,-0.04
127,0.66,0.26,-0.83,-0.84,0.09,0.03,-0.12,-0.02
128,-0.97,0.27,0.76,-0.54,0.03,0.15,-0.05,0
129,-0.22,0.27,-0.68,0.26,0,0.26,0.01,0.03
130,-0.36,0.27,0.27,0.24,0.1,0.32,0.06,0.05
131,-0.36,0.28,0.05,-0.22,0.12,0.33,0.1,0.07
132,0.9,0.28,-0.26,-0.24,0,0.32,0.13,0.09
133,0.05,0.28,0.56,0.03,-0.16,0.3,0.16,0.1
134,-0.36,0.29,-0.35,0.2,-0.43,0.22,0.19,0.12
135,0.38,0.3,-0.33,0.17,-0.5,0.11,0.2,0.13
136,-0.36,0.3,0.53,-0.03,-0.28,-0.01,0.23,0.14
137,0.38,0.31,-0.37,-0.22,0.02,-0.12,0.24,0.15
138,0.9,0.31,0.13,-0.12,0.38,-0.22,0.24,0.16
139,-0.36,0.31,0.39,0.29,0.54,-0.29,0.22,0.17
140,-0.36,0.32,-0.56,0.34,0.48,-0.33,0.2,0.18
141,1.67,0.32,-0.27,-0.05,0.32,-0.37,0.15,0.19
142,-0.36,0.33,1.2,-0.25,0.11,-0.36,0.11,0.2
143,0.05,0.33,-0.96,-0.31,-0.02,-0.32,0.06,0.21
144,-0.36,0.34,0.13,-0.02,-0.16,-0.28,0.03,0.21
145,-0.36,0.35,0.08,0.44,-0.26,-0.22,0,0.22
146,0.9,0.36,-0.17,-0.01,-0.3,-0.17,-0.01,0.23
147,0.05,0.36,0.58,-0.45,-0.39,-0.1,-0.02,0.24
148,0.38,0.37,-0.48,0.17,-0.33,-0.01,-0.02,0.24
149,-0.97,0.38,0.26,0.44,-0.25,0.1,-0.02,0.24
150,-0.36,0.38,-0.48,-0.06,-0.16,0.17,-0.02,0.24
