sl.no.,Original Signal,Approximation,D 1,D 2,D 3,D 4,D 5,D 6
1,-0.1,0.37,0.35,0.26,-0.88,-0.08,0.02,0.06
2,-0.86,0.37,-0.06,0.46,-0.34,-0.03,0.04,0.07
3,-0.25,0.37,-0.42,0.37,0.26,0.01,0.07,0.09
4,-0.25,0.37,0.33,0.14,0.65,0.02,0.09,0.1
5,0.55,0.37,-0.09,-0.43,0.73,0.02,0.1,0.11
6,1.44,0.37,0.04,-0.73,0.54,0.04,0.1,0.13
7,1.24,0.37,0.23,-0.17,0.28,0.05,0.1,0.15
8,1.5,0.37,-0.29,0.28,-0.04,0.01,0.09,0.16
9,1.28,0.37,0.05,0.09,-0.31,-0.09,0.08,0.17
10,-0.25,0.37,0.2,-0.11,-0.51,-0.25,0.05,0.18
11,-0.62,0.37,-0.44,-0.12,-0.68,-0.42,0.02,0.19
12,0.52,0.37,-0.12,0.05,-0.64,-0.52,-0.01,0.19
13,-0.17,0.37,0.73,0.32,-0.32,-0.52,-0.03,0.2
14,0.35,0.37,-0.41,0.32,0.12,-0.46,-0.02,0.21
15,-0.25,0.37,0.15,0.3,0.58,-0.35,-0.01,0.21
16,0.08,0.37,-0.24,0.25,0.89,-0.19,0,0.22
17,0.61,0.37,0.05,-0.39,0.83,-0.02,-0.01,0.21
18,0.98,0.37,0.15,-0.88,0.57,0.2,-0.01,0.21
19,1.61,0.37,-0.07,-0.39,0.24,0.43,-0.02,0.21
20,1.89,0.37,0.05,0.27,-0.16,0.57,-0.03,0.2
21,0.46,0.37,0.23,0.4,-0.48,0.62,-0.04,0.19
22,0.23,0.37,-0.54,0.18,-0.71,0.6,-0.07,0.18
23,-0.47,0.37,0.17,-0.09,-0.88,0.52,-0.11,0.16
24,0.59,0.37,-0.19,-0.17,-0.76,0.42,-0.14,0.15
25,0.59,0.37,0.46,-0.05,-0.34,0.36,-0.15,0.14
26,-0.86,0.37,0.17,0.29,0.17,0.29,-0.14,0.14
27,0.11,0.37,-0.81,0.58,0.69,0.21,-0.11,0.14
28,-0.62,0.36,0.59,0.24,0.95,0.16,-0.08,0.13
29,-0.03,0.36,-0.24,-0.55,0.79,0.09,-0.06,0.13
30,0.98,0.36,-0.01,-0.82,0.46,0.02,-0.04,0.13
31,0.98,0.36,0.34,-0.17,0.05,-0.02,-0.03,0.13
32,1.33,0.36,-0.22,0.46,-0.31,-0.1,0,0.12
33,0.91,0.36,0.05,0.29,-0.47,-0.22,0,0.11
34,0.46,0.36,-0.09,-0.03,-0.6,-0.35,0,0.09
35,1.03,0.36,-0.21,-0.2,-0.63,-0.47,-0.01,0.07
