sl.no.,Original Signal,Approximation,D 1,D 2,D 3,D 4,D 5,D 6
1,0.14,-0.08,0.09,0.29,-1.22,-0.10,-0.02,0.11
2,0.55,-0.07,-0.29,0.70,-1.11,-0.23,0.03,0.11
3,1.02,-0.06,0.17,0.60,-0.71,-0.32,0.10,0.11
4,1.31,-0.06,0.16,0.26,-0.16,-0.34,0.18,0.11
5,1.31,-0.06,-0.01,-0.04,0.38,-0.27,0.25,0.12
6,1.20,-0.06,-0.09,-0.12,0.83,-0.13,0.31,0.13
7,0.79,-0.06,0.00,-0.19,1.09,0.05,0.35,0.14
8,0.44,-0.06,-0.05,-0.44,1.08,0.21,0.37,0.16
9,-0.08,-0.06,0.03,-0.47,0.76,0.29,0.35,0.16
10,-0.86,-0.06,0.04,-0.05,0.14,0.27,0.31,0.16
11,-0.76,-0.05,-0.19,0.34,-0.60,0.17,0.25,0.15
12,-0.38,-0.05,0.10,0.40,-1.18,0.01,0.18,0.15
13,0.09,-0.04,0.12,0.23,-1.38,-0.16,0.12,0.14
14,0.70,-0.04,-0.02,0.01,-1.12,-0.29,0.09,0.13
15,1.23,-0.04,0.00,-0.08,-0.50,-0.37,0.07,0.13
16,1.31,-0.04,0.05,-0.14,0.23,-0.38,0.07,0.13
17,1.32,-0.04,-0.09,-0.33,0.80,-0.30,0.06,0.14
18,1.21,-0.04,-0.03,-0.37,1.06,-0.14,0.05,0.15
19,0.97,-0.04,0.02,-0.11,0.96,0.06,0.03,0.16
20,0.41,-0.04,0.04,0.16,0.59,0.25,-0.01,0.17
21,-0.82,-0.04,0.05,0.34,0.15,0.37,-0.07,0.17
22,-1.35,-0.04,-0.25,0.41,-0.21,0.40,-0.15,0.16
23,-1.95,-0.03,0.11,0.27,-0.36,0.33,-0.23,0.15
24,-1.62,-0.03,-0.07,-0.01,-0.26,0.23,-0.31,0.13
25,-0.55,-0.02,0.04,-0.16,-0.02,0.11,-0.36,0.11
26,-0.02,-0.02,0.27,-0.07,0.20,0.01,-0.36,0.09
