Original Signal,Approximation,D 1,D 2,D 3,D 4,D 5,D 6
-0.20,0.07,-0.14,0.35,-0.52,-0.28,-0.14,0.23
-0.04,0.08,0.04,0.28,-0.25,-0.43,-0.11,0.24
0.33,0.08,0.08,0.15,0.09,-0.44,-0.08,0.24
0.70,0.08,0.05,0.04,0.46,-0.32,-0.03,0.26
0.96,0.09,0.00,-0.04,0.74,-0.10,0.00,0.27
1.20,0.09,-0.04,-0.12,0.86,0.10,0.01,0.27
1.23,0.09,0.01,-0.28,0.71,0.24,0.00,0.28
1.02,0.10,0.00,-0.38,0.31,0.34,-0.04,0.28
0.55,0.11,-0.01,-0.23,-0.19,0.38,-0.09,0.27
-0.34,0.12,0.01,0.06,-0.68,0.34,-0.12,0.26
-0.71,0.13,-0.16,0.26,-0.96,0.24,-0.14,0.25
-0.39,0.14,-0.03,0.29,-0.96,0.10,-0.13,0.24
-0.20,0.15,0.22,0.20,-0.71,-0.05,-0.11,0.23
0.13,0.15,0.00,0.11,-0.26,-0.14,-0.07,0.22
0.30,0.16,-0.01,0.10,0.26,-0.14,-0.02,0.22
0.74,0.16,-0.09,0.01,0.69,-0.09,0.04,0.23
1.12,0.16,0.04,-0.29,0.92,-0.01,0.10,0.24
1.44,0.17,0.02,-0.52,0.89,0.06,0.13,0.25
1.36,0.17,0.04,-0.31,0.60,0.11,0.13,0.25
1.01,0.17,-0.04,0.10,0.15,0.11,0.11,0.24
0.37,0.18,-0.03,0.30,-0.32,0.08,0.07,0.23
-0.17,0.19,-0.07,0.25,-0.64,0.01,0.04,0.21
-0.71,0.20,0.02,0.11,-0.72,-0.09,0.03,0.20
-0.83,0.20,-0.03,0.07,-0.53,-0.18,0.05,0.18
-0.71,0.21,0.04,0.12,-0.16,-0.24,0.08,0.16
-0.55,0.22,0.07,0.14,0.25,-0.23,0.12,0.14
-0.27,0.22,-0.01,0.04,0.56,-0.16,0.16,0.13
0.45,0.22,-0.07,-0.13,0.64,-0.05,0.21,0.12
0.86,0.23,0.12,-0.28,0.46,0.08,0.23,0.11
1.14,0.23,-0.01,-0.35,0.10,0.19,0.23,0.09
1.10,0.23,-0.02,-0.24,-0.29,0.26,0.19,0.08
0.95,0.23,-0.05,0.00,-0.60,0.26,0.12,0.05
0.53,0.24,0.01,0.13,-0.71,0.19,0.03,0.02
0.10,0.24,-0.03,0.13,-0.64,0.08,-0.05,-0.02
-0.71,0.24,0.06,0.18,-0.40,-0.07,-0.11,-0.05
-0.49,0.25,-0.22,0.27,-0.06,-0.22,-0.13,-0.08
-0.62,0.25,0.22,0.23,0.32,-0.35,-0.13,-0.11
-0.27,0.25,-0.04,0.08,0.66,-0.42,-0.12,-0.14
-0.09,0.25,0.05,-0.05,0.87,-0.43,-0.11,-0.15
0.53,0.24,-0.09,-0.10,0.85,-0.36,-0.11,-0.16
1.02,0.23,0.07,-0.19,0.59,-0.27,-0.12,-0.17
