sl.no.,Original Signal,Approximation,D 1,D 2,D 3,D 4,D 5,D 6
1,-0.08,0.49,0.12,0,-0.56,-0.25,0.09,-0.04
2,-0.92,0.49,0.12,0.42,-0.18,-0.19,0.13,-0.04
3,0.22,0.49,-0.5,0.46,0.26,-0.1,0.17,-0.04
4,-0.02,0.48,0.51,0.26,0.5,-0.03,0.2,-0.04
5,0.48,0.48,-0.18,-0.24,0.53,0.06,0.21,-0.03
6,0.92,0.47,-0.02,-0.54,0.44,0.17,0.2,-0.03
7,1.26,0.47,0.06,-0.19,0.27,0.25,0.17,-0.02
8,1.37,0.46,0.02,0.06,0.12,0.28,0.14,-0.02
9,1.17,0.45,-0.01,-0.08,0,0.24,0.11,-0.02
10,-0.22,0.45,0.12,-0.01,-0.17,0.11,0.07,-0.03
11,1.2,0.45,-0.68,0.16,-0.39,-0.05,0.03,-0.03
12,-0.92,0.44,1.02,0.1,-0.52,-0.15,0,-0.04
13,-0.52,0.43,-0.76,0.06,-0.47,-0.21,0,-0.04
14,-0.31,0.43,0.13,0.19,-0.23,-0.23,0.01,-0.04
15,-0.31,0.42,0.26,0.3,0.15,-0.2,0.03,-0.03
16,-0.08,0.41,-0.09,0.02,0.48,-0.14,0.03,-0.03
17,0.26,0.41,-0.05,-0.3,0.58,-0.07,0.01,-0.02
18,0.98,0.4,-0.03,-0.14,0.46,0.04,-0.02,-0.02
19,1.54,0.39,0.1,-0.13,0.23,0.15,-0.07,-0.02
20,1.85,0.39,0.03,-0.36,-0.11,0.2,-0.12,-0.02
21,0.71,0.39,0.16,-0.11,-0.35,0.19,-0.16,-0.02
22,-0.08,0.38,-0.34,0.21,-0.49,0.14,-0.19,-0.02
23,-0.68,0.38,-0.06,0.15,-0.59,0.03,-0.21,-0.03
24,0.49,0.38,-0.15,0.02,-0.47,-0.06,-0.23,-0.03
25,0.49,0.38,0.56,0.02,-0.22,-0.11,-0.22,-0.03
26,-0.41,0.37,0.06,0.27,0.09,-0.15,-0.2,-0.02
27,0.2,0.37,-0.59,0.57,0.5,-0.14,-0.17,-0.01
28,-0.41,0.36,0.39,0.31,0.71,-0.11,-0.14,0
29,-0.41,0.36,-0.13,-0.55,0.74,-0.08,-0.13,0.02
30,0.92,0.36,-0.23,-0.97,0.62,-0.03,-0.14,0.03
31,1.1,0.35,0.48,-0.33,0.25,0.05,-0.16,0.04
32,1.26,0.35,-0.1,0.4,-0.12,0.1,-0.17,0.05
33,1.06,0.35,-0.11,0.42,-0.48,0.11,-0.17,0.06
34,0.41,0.35,0.01,0.22,-0.81,0.09,-0.17,0.06
35,0.59,0.35,-0.21,-0.08,-0.88,0.03,-0.17,0.06
36,-0.52,0.35,0.35,-0.42,-0.75,0,-0.15,0.06
37,-0.68,0.34,-0.29,-0.16,-0.36,0.01,-0.12,0.06
38,-0.68,0.34,0.03,0.39,0.21,0.03,-0.08,0.07
39,-0.07,0.34,0.03,0.46,0.68,0.05,-0.04,0.08
40,-0.68,0.34,0.32,0.16,0.91,0.07,0,0.08
41,-0.31,0.34,-0.37,-0.12,0.8,0.07,0.03,0.09
42,1.15,0.34,-0.14,-0.16,0.41,0.06,0.03,0.09
43,1.83,0.34,0.43,-0.24,0.06,0.04,0.03,0.1
44,1.61,0.34,0.09,-0.45,-0.21,-0.01,0.02,0.1
45,0.68,0.34,-0.19,-0.19,-0.34,-0.1,0.02,0.1
46,0.09,0.34,-0.26,0.31,-0.36,-0.19,0.02,0.09
47,0.45,0.34,-0.08,0.17,-0.49,-0.26,0.01,0.08
48,0.45,0.35,0.33,-0.27,-0.55,-0.29,0.02,0.07
49,0.09,0.35,0.08,-0.02,-0.46,-0.25,0.04,0.07
50,-0.68,0.35,-0.08,0.64,-0.24,-0.17,0.07,0.07
51,0.16,0.35,-0.39,0.73,0.19,-0.03,0.1,0.07
52,0.15,0.35,0.42,0.02,0.59,0.1,0.13,0.07
53,-0.22,0.35,0.06,-0.71,0.78,0.2,0.15,0.07
54,0.57,0.35,-0.38,-0.62,0.76,0.27,0.14,0.07
55,1.33,0.35,0.17,0.02,0.49,0.29,0.13,0.07
56,1.45,0.35,0.22,0.19,0.09,0.25,0.12,0.06
57,0.96,0.35,-0.05,-0.1,-0.33,0.18,0.1,0.05
58,0.57,0.35,-0.21,0,-0.68,0.06,0.08,0.04
59,0.55,0.35,-0.07,0.21,-0.91,-0.09,0.07,0.02
60,0.56,0.36,0.12,-0.05,-0.86,-0.2,0.06,0
61,-0.22,0.36,0.19,-0.19,-0.52,-0.23,0.07,-0.01
62,-0.31,0.36,-0.27,0.22,-0.01,-0.19,0.09,-0.02
63,-0.68,0.36,0.09,0.5,0.53,-0.1,0.11,-0.02
64,-0.15,0.35,-0.11,0.2,0.86,0.01,0.13,-0.03
65,-0.92,0.35,0.35,-0.28,0.88,0.08,0.14,-0.03
66,1.19,0.35,-0.64,-0.34,0.64,0.14,0.12,-0.04
67,1.51,0.35,0.67,-0.07,0.3,0.2,0.1,-0.05
68,1.31,0.35,0.01,-0.02,-0.02,0.21,0.07,-0.05
69,0.68,0.36,-0.25,-0.11,-0.3,0.14,0.05,-0.06
70,0.26,0.36,-0.17,-0.01,-0.48,0.04,0.02,-0.08
71,0.22,0.37,0.01,-0.06,-0.63,-0.09,0,-0.09
72,-0.68,0.37,0.28,-0.32,-0.67,-0.18,-0.01,-0.1
73,-0.92,0.37,-0.22,0,-0.5,-0.19,-0.01,-0.11
74,0.19,0.38,-0.19,0.71,-0.21,-0.14,0.01,-0.11
75,-0.52,0.38,0.61,0.67,0.16,-0.06,0.05,-0.11
76,-0.92,0.38,-0.28,0,0.49,0.03,0.07,-0.1
77,-0.22,0.38,-0.34,-0.35,0.65,0.1,0.08,-0.09
78,0.22,0.38,0.29,-0.3,0.65,0.16,0.07,-0.09
79,1.17,0.38,0,-0.43,0.52,0.2,0.05,-0.08
80,0.92,0.39,0.22,-0.42,0.29,0.18,0.03,-0.08
81,0.51,0.39,-0.18,0.19,-0.05,0.09,0.01,-0.08
82,0.03,0.39,-0.13,0.51,-0.42,-0.04,-0.01,-0.08
83,0.03,0.4,-0.06,0.04,-0.76,-0.19,-0.03,-0.08
84,-0.92,0.4,0.29,-0.3,-0.92,-0.3,-0.03,-0.08
85,0.04,0.4,-0.43,-0.07,-0.71,-0.33,-0.02,-0.08
86,-0.41,0.4,0.48,0.36,-0.26,-0.28,0,-0.07
87,-0.92,0.4,-0.07,0.48,0.33,-0.19,0.03,-0.05
88,-0.31,0.4,-0.36,0.14,0.79,-0.08,0.05,-0.03
89,0.13,0.4,0.22,-0.2,0.89,0.04,0.05,-0.02
90,0.94,0.4,0.04,-0.39,0.74,0.15,0.03,0
91,1.17,0.4,0.11,-0.45,0.36,0.25,0,0.02
92,1.33,0.4,-0.1,-0.07,-0.04,0.29,-0.04,0.03
93,0.9,0.4,0.02,0.3,-0.31,0.24,-0.07,0.04
94,-0.22,0.4,0.02,0.05,-0.57,0.15,-0.1,0.04
95,0.12,0.4,-0.38,-0.2,-0.68,0.02,-0.12,0.05
96,0.11,0.41,0.3,-0.04,-0.65,-0.08,-0.13,0.05
97,0.11,0.41,0.1,0.19,-0.5,-0.13,-0.12,0.06
98,0.1,0.41,-0.06,0.35,-0.11,-0.12,-0.1,0.08
99,-0.92,0.41,0.13,0.44,0.33,-0.08,-0.08,0.09
100,0.04,0.4,-0.5,0.15,0.63,-0.01,-0.06,0.11
101,-0.08,0.4,0.46,-0.43,0.78,0.07,-0.06,0.12
102,1.08,0.4,-0.2,-0.64,0.64,0.14,-0.07,0.13
103,1.31,0.4,0.24,-0.26,0.33,0.19,-0.09,0.15
104,1.39,0.4,-0.06,0.24,0.03,0.21,-0.1,0.15
105,0.9,0.39,-0.04,0.33,-0.31,0.16,-0.12,0.16
106,-0.52,0.39,0.04,0,-0.57,0.06,-0.12,0.15
107,0.78,0.4,-0.62,-0.26,-0.7,-0.06,-0.13,0.15
108,0.85,0.4,0.66,-0.17,-0.67,-0.16,-0.12,0.14
109,0.92,0.39,0.05,0.08,-0.39,-0.21,-0.09,0.14
110,-0.22,0.39,0.01,0.42,0.04,-0.19,-0.05,0.14
111,-0.15,0.39,-0.45,0.62,0.48,-0.13,-0.01,0.14
112,0.03,0.39,0.13,0.16,0.72,-0.06,0.03,0.14
113,0.76,0.38,0.09,-0.7,0.7,0.01,0.04,0.14
114,0.9,0.38,0.19,-0.76,0.5,0.08,0.05,0.14
115,1.36,0.38,-0.16,0.1,0.2,0.13,0.04,0.14
116,1.42,0.37,0.04,0.59,-0.05,0.15,0.03,0.13
117,1.02,0.37,0.03,0.2,-0.28,0.12,0.02,0.12
118,0.78,0.37,-0.14,-0.33,-0.5,0.02,0.01,0.1
119,0.22,0.38,0.06,-0.36,-0.65,-0.1,0.01,0.07
120,1.21,0.38,-0.26,-0.04,-0.65,-0.19,0.02,0.05
121,1.32,0.38,0.41,0.22,-0.41,-0.23,0.03,0.03
122,1.43,0.37,-0.03,0.31,-0.01,-0.2,0.06,0.02
123,1.53,0.37,-0.13,0.33,0.38,-0.13,0.09,0.01
124,1.64,0.37,-0.02,0.16,0.59,-0.06,0.11,0
125,1.75,0.37,0.02,-0.26,0.54,0,0.11,-0.01
126,0.65,0.36,0.2,-0.56,0.39,0.06,0.09,-0.02
127,1.49,0.36,-0.53,-0.3,0.21,0.11,0.06,-0.03
128,1.48,0.36,0.39,0.2,0.08,0.13,0.03,-0.04
129,0.87,0.36,0.15,0.28,-0.05,0.1,0,-0.06
130,0.13,0.36,-0.2,0.14,-0.26,0,-0.02,-0.08
131,-0.02,0.36,-0.19,0.2,-0.47,-0.11,-0.05,-0.1
132,-0.52,0.36,0.2,0.1,-0.57,-0.18,-0.06,-0.12
133,-0.68,0.36,-0.04,-0.32,-0.43,-0.18,-0.06,-0.14
134,-0.68,0.36,-0.01,-0.32,-0.09,-0.12,-0.04,-0.15
135,-0.32,0.36,-0.01,0.19,0.28,-0.02,-0.02,-0.15
136,-0.52,0.36,0.16,0.28,0.49,0.07,-0.01,-0.16
137,0.22,0.35,-0.24,-0.04,0.43,0.14,0,-0.17
138,0.65,0.35,0.15,-0.17,0.19,0.23,-0.01,-0.17
139,1.47,0.35,-0.04,-0.18,-0.07,0.29,-0.03,-0.17
140,1.45,0.35,0.16,-0.18,-0.21,0.31,-0.05,-0.18
141,0.87,0.35,-0.05,-0.02,-0.17,0.26,-0.07,-0.19
142,-0.15,0.35,-0.11,0.15,-0.06,0.13,-0.08,-0.2
143,-0.68,0.35,-0.17,0.1,0.06,-0.03,-0.09,-0.21
144,0.67,0.35,-0.2,-0.03,0.12,-0.14,-0.08,-0.21
145,0.59,0.35,0.66,0.02,0.11,-0.18,-0.05,-0.22
146,-0.92,0.35,0.12,0.26,0.13,-0.18,-0.01,-0.21
147,-0.32,0.35,-0.81,0.51,0.16,-0.15,0.04,-0.21
148,-0.22,0.34,0.34,0.33,0.18,-0.12,0.08,-0.2
149,0.13,0.34,0.14,-0.49,0.18,-0.06,0.1,-0.19
150,1.04,0.34,-0.12,-1,0.07,0.03,0.1,-0.17
151,1.55,0.34,0.14,-0.24,-0.12,0.13,0.1,-0.16
152,1.4,0.34,0.07,0.6,-0.33,0.18,0.09,-0.15
153,1.06,0.34,-0.15,0.3,-0.53,0.16,0.08,-0.14
154,0.41,0.34,-0.04,-0.2,-0.66,0.1,0.07,-0.14
155,-0.92,0.34,0.08,-0.22,-0.66,0.02,0.06,-0.14
156,0.26,0.34,-0.52,-0.14,-0.49,-0.04,0.07,-0.13
157,-0.92,0.34,0.81,0.11,-0.13,-0.09,0.09,-0.12
158,-0.01,0.34,-0.53,0.44,0.36,-0.13,0.12,-0.11
159,-0.05,0.34,0.26,0.46,0.75,-0.18,0.15,-0.09
160,-0.68,0.34,0.11,0.24,0.94,-0.2,0.17,-0.08
161,-0.41,0.34,-0.35,-0.24,0.85,-0.2,0.17,-0.06
162,1.17,0.34,-0.11,-0.64,0.52,-0.18,0.15,-0.04
163,2.08,0.34,0.46,-0.49,0.21,-0.15,0.11,-0.03
164,1.66,0.34,0.18,-0.15,-0.09,-0.1,0.07,-0.01
165,1.14,0.34,-0.37,0.22,-0.35,-0.04,0.04,0
166,0.48,0.34,-0.12,0.54,-0.53,0.03,0,0
167,-0.52,0.35,0.1,0.1,-0.74,0.12,-0.03,0.01
168,0.98,0.35,-0.42,-0.54,-0.79,0.22,-0.05,0.02
169,-0.08,0.35,0.86,-0.19,-0.52,0.33,-0.05,0.03
170,-0.41,0.35,-0.37,0.59,-0.07,0.45,-0.04,0.04
171,-0.41,0.35,-0.22,0.75,0.46,0.55,-0.03,0.06
172,-0.68,0.35,0.19,0.29,0.87,0.59,-0.03,0.07
173,0.71,0.35,-0.25,-0.49,0.87,0.52,-0.05,0.09
174,0.38,0.35,0.53,-0.89,0.59,0.4,-0.08,0.1
175,1.48,0.35,-0.42,-0.32,0.22,0.23,-0.12,0.12
176,1.31,0.35,0.26,0.34,-0.19,0.02,-0.16,0.12
177,1.08,0.36,-0.09,0.24,-0.46,-0.2,-0.19,0.13
178,0.78,0.36,-0.11,-0.11,-0.64,-0.43,-0.22,0.13
179,0.22,0.36,0.04,-0.2,-0.79,-0.64,-0.23,0.13
180,0.48,0.37,-0.14,-0.03,-0.76,-0.76,-0.22,0.13
181,-0.52,0.37,0.35,0.19,-0.47,-0.75,-0.2,0.13
182,-0.92,0.37,-0.25,0.33,-0.01,-0.65,-0.16,0.13
183,-0.68,0.37,-0.12,0.36,0.53,-0.49,-0.12,0.14
184,-0.92,0.37,0.27,0.14,0.94,-0.31,-0.08,0.14
185,-0.41,0.37,-0.15,-0.25,0.96,-0.16,-0.07,0.15
186,0.83,0.37,-0.06,-0.34,0.72,-0.03,-0.07,0.15
187,1.57,0.38,0.26,-0.11,0.37,0.1,-0.07,0.16
188,1.33,0.38,0.1,-0.05,-0.06,0.17,-0.07,0.16
189,0.51,0.38,-0.18,-0.16,-0.35,0.17,-0.06,0.15
190,0.03,0.38,-0.24,-0.08,-0.59,0.12,-0.05,0.14
191,-0.92,0.39,0.15,-0.09,-0.79,0.05,-0.04,0.13
192,0.18,0.39,-0.32,-0.2,-0.79,0.01,-0.02,0.13
193,-0.22,0.4,0.59,0.16,-0.61,0.04,0.01,0.12
194,0.4,0.4,-0.27,0.69,-0.22,0.13,0.04,0.12
195,-0.41,0.4,0.22,0.69,0.25,0.22,0.07,0.13
196,0.22,0.4,-0.42,0.17,0.63,0.31,0.08,0.13
197,-0.68,0.4,0.39,-0.5,0.83,0.36,0.07,0.13
198,0.57,0.4,-0.48,-0.86,0.8,0.37,0.05,0.12
199,1.37,0.41,0.32,-0.51,0.64,0.36,0.02,0.12
200,1.79,0.41,0.17,0.14,0.31,0.29,-0.01,0.11
201,0.76,0.41,0.08,0.44,-0.14,0.16,-0.04,0.1
202,-0.52,0.42,-0.3,0.39,-0.61,-0.02,-0.06,0.09
203,-0.22,0.42,-0.39,0.12,-1.01,-0.21,-0.07,0.07
204,-0.08,0.42,0.38,-0.37,-1.09,-0.36,-0.08,0.06
205,-0.08,0.43,0.18,-0.49,-0.75,-0.38,-0.07,0.05
206,-0.68,0.43,0.01,0.19,-0.13,-0.3,-0.04,0.04
207,-0.31,0.43,-0.33,0.87,0.53,-0.2,-0.01,0.04
208,-0.68,0.43,0.25,0.53,0.94,-0.07,0.02,0.04
209,-0.22,0.43,-0.16,-0.47,0.92,0.05,0.04,0.03
210,1.02,0.44,-0.06,-0.84,0.58,0.16,0.05,0.03
211,1.22,0.44,0.38,-0.31,0.17,0.27,0.06,0.02
212,1.12,0.44,-0.1,0.18,-0.14,0.31,0.09,0.02
213,0.94,0.44,-0.18,0.25,-0.29,0.24,0.12,0
214,0.8,0.45,-0.03,0.16,-0.37,0.1,0.15,-0.01
215,0.18,0.45,0.13,-0.13,-0.46,-0.05,0.19,-0.03
216,1.03,0.46,-0.3,-0.29,-0.52,-0.17,0.24,-0.04
217,1.15,0.46,0.35,0.11,-0.41,-0.21,0.29,-0.05
218,1.26,0.46,0,0.49,-0.1,-0.19,0.34,-0.05
219,1.38,0.46,-0.11,0.36,0.32,-0.14,0.39,-0.05
220,1.49,0.46,-0.02,0.07,0.66,-0.04,0.43,-0.05
221,0.34,0.46,0.22,-0.24,0.71,0.06,0.44,-0.05
222,0.96,0.46,-0.51,-0.52,0.5,0.16,0.43,-0.05
223,1.1,0.46,0.3,-0.33,0.18,0.24,0.4,-0.05
224,1.65,0.47,0.04,0.08,-0.13,0.26,0.36,-0.06
225,1.02,0.47,0.19,0.23,-0.37,0.21,0.31,-0.06
226,0.18,0.47,-0.18,0.33,-0.53,0.09,0.26,-0.08
227,1.01,0.47,-0.41,0.3,-0.64,-0.05,0.19,-0.09
228,1.01,0.48,0.46,-0.19,-0.64,-0.19,0.13,-0.1
229,-0.92,0.48,0.34,-0.54,-0.41,-0.26,0.08,-0.1
230,-0.41,0.48,-0.87,-0.16,-0.02,-0.27,0.04,-0.1
231,-0.45,0.48,0.36,0.45,0.4,-0.23,0,-0.09
232,-0.52,0.47,0.2,0.31,0.68,-0.17,-0.05,-0.09
233,-0.02,0.47,-0.18,-0.28,0.64,-0.12,-0.11,-0.08
234,1.02,0.47,-0.04,-0.12,0.36,-0.06,-0.17,-0.07
235,1.06,0.47,0.31,0.34,0.08,0.01,-0.24,-0.06
236,0.92,0.47,-0.13,-0.04,-0.1,0.07,-0.29,-0.05
237,0.6,0.47,-0.13,-0.41,-0.13,0.07,-0.34,-0.05
238,-0.41,0.47,0.09,-0.17,-0.01,0.01,-0.38,-0.05
239,0.01,0.47,-0.33,-0.1,0.01,-0.07,-0.41,-0.06
240,-0.04,0.47,0.3,-0.06,-0.05,-0.12,-0.42,-0.06
241,-0.09,0.47,0.07,0.32,-0.11,-0.1,-0.4,-0.05
242,-0.14,0.47,-0.08,0.54,-0.22,-0.02,-0.36,-0.04
243,-0.08,0.46,-0.05,0.4,-0.17,0.08,-0.32,-0.03
244,-0.31,0.46,0.07,0,-0.02,0.17,-0.27,-0.01
245,0.18,0.46,-0.16,-0.49,0.1,0.22,-0.25,0
246,1.04,0.45,0.04,-0.55,0.27,0.27,-0.24,0.01
247,1.97,0.45,0.12,-0.15,0.3,0.32,-0.23,0.03
248,1.39,0.45,0.26,0.12,0.13,0.31,-0.22,0.04
249,0.73,0.44,-0.3,0.22,-0.1,0.22,-0.22,0.04
250,0.09,0.44,-0.16,0.19,-0.43,0.06,-0.21,0.04
251,-0.31,0.44,0.02,-0.1,-0.69,-0.12,-0.2,0.04
252,0.73,0.44,-0.13,-0.35,-0.66,-0.28,-0.18,0.04
